id	feature	auc	p_value	p_adjusted	cohens_d	n_pos	n_neg	ci_lower	ci_upper	status	description
169	lfhf_21d_autocorr	0.5122	0.176823	0.0	0.5606	85	128	0.4243	0.5866	PENDING	Does lfhf_21d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
170	lfhf_21d_autocorr	0.5122	0.147852	0.0	0.5606	85	128	0.4321	0.5914	PENDING	Does lfhf_21d_autocorr predict PHQ-9 increased from baseline?
171	lfhf_28d_mean	0.6429	0.143856	0.0	0.7071	21	26	0.4656	0.8188	PENDING	Does lfhf_28d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
172	lfhf_28d_mean	0.6429	0.162837	0.0	0.7071	21	26	0.4597	0.8273	PENDING	Does lfhf_28d_mean predict PHQ-9 increased from baseline?
173	lfhf_28d_std	0.0769	0.947053	0.0	0.0344	21	26	0.0199	0.1576	PENDING	Does lfhf_28d_std predict PHQ-9 ≥ 5 (mild+ depression)?
174	lfhf_28d_std	0.0769	0.934066	0.0	0.0344	21	26	0.0201	0.1619	PENDING	Does lfhf_28d_std predict PHQ-9 increased from baseline?
175	lfhf_28d_cv	0.0	0.464535	0.0	0.3702	21	26	0.0	0.0	PENDING	Does lfhf_28d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
176	lfhf_28d_cv	0.0	0.425574	0.0	0.3702	21	26	0.0	0.0	PENDING	Does lfhf_28d_cv predict PHQ-9 increased from baseline?
177	lfhf_28d_slope	0.5623	0.058941	0.0	0.9581	21	26	0.3774	0.7279	PENDING	Does lfhf_28d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
178	lfhf_28d_slope	0.5623	0.048951	0.0	0.9581	21	26	0.3873	0.7334	PENDING	Does lfhf_28d_slope predict PHQ-9 increased from baseline?
179	lfhf_28d_autocorr	0.0	0.614386	0.0	0.2546	21	26	0.0	0.0	PENDING	Does lfhf_28d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
180	lfhf_28d_autocorr	0.0	0.616384	0.0	0.2546	21	26	0.0	0.0	PENDING	Does lfhf_28d_autocorr predict PHQ-9 increased from baseline?
181	sleep_onset_sd_3d	0.0002	0.811189	0.0	0.073	442	832	0.0001	0.0005	PENDING	Does sleep_onset_sd_3d predict PHQ-9 ≥ 5 (mild+ depression)?
182	sleep_onset_sd_3d	0.0002	0.798202	0.0	0.073	442	832	0.0001	0.0004	PENDING	Does sleep_onset_sd_3d predict PHQ-9 increased from baseline?
183	sleep_onset_sd_5d	0.0004	0.797203	0.0	0.0774	408	768	0.0	0.0009	PENDING	Does sleep_onset_sd_5d predict PHQ-9 ≥ 5 (mild+ depression)?
184	sleep_onset_sd_5d	0.0004	0.783217	0.0	0.0774	408	768	0.0	0.0009	PENDING	Does sleep_onset_sd_5d predict PHQ-9 increased from baseline?
185	sleep_onset_sd_7d	0.0	0.856144	0.0	0.0529	374	704	0.0	0.0001	PENDING	Does sleep_onset_sd_7d predict PHQ-9 ≥ 5 (mild+ depression)?
186	sleep_onset_sd_7d	0.0	0.87013	0.0	0.0529	374	704	0.0	0.0001	PENDING	Does sleep_onset_sd_7d predict PHQ-9 increased from baseline?
187	sleep_onset_sd_14d	0.0	0.905095	0.0	0.0362	255	480	0.0	0.0	PENDING	Does sleep_onset_sd_14d predict PHQ-9 ≥ 5 (mild+ depression)?
188	sleep_onset_sd_14d	0.0	0.921079	0.0	0.0362	255	480	0.0	0.0	PENDING	Does sleep_onset_sd_14d predict PHQ-9 increased from baseline?
189	sleep_onset_sd_21d	0.0053	0.809191	0.0	0.0766	136	256	0.0	0.0155	PENDING	Does sleep_onset_sd_21d predict PHQ-9 ≥ 5 (mild+ depression)?
190	sleep_onset_sd_21d	0.0053	0.828172	0.0	0.0766	136	256	0.0	0.0159	PENDING	Does sleep_onset_sd_21d predict PHQ-9 increased from baseline?
191	sleep_onset_sd_28d	0.2518	0.612388	0.0	0.1579	17	32	0.1111	0.4252	PENDING	Does sleep_onset_sd_28d predict PHQ-9 ≥ 5 (mild+ depression)?
192	sleep_onset_sd_28d	0.2518	0.641359	0.0	0.1579	17	32	0.1033	0.4299	PENDING	Does sleep_onset_sd_28d predict PHQ-9 increased from baseline?
193	sleep_qual_3d_mean	0.421	0.198801	0.0	0.3974	442	832	0.3854	0.4569	PENDING	Does sleep_qual_3d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
194	sleep_qual_3d_mean	0.421	0.18981	0.0	0.3974	442	832	0.3876	0.458	PENDING	Does sleep_qual_3d_mean predict PHQ-9 increased from baseline?
195	sleep_qual_3d_std	0.4372	0.051948	0.0	0.6058	442	832	0.4011	0.4741	PENDING	Does sleep_qual_3d_std predict PHQ-9 ≥ 5 (mild+ depression)?
196	sleep_qual_3d_std	0.4372	0.054945	0.0	0.6058	442	832	0.4025	0.4739	PENDING	Does sleep_qual_3d_std predict PHQ-9 increased from baseline?
197	sleep_qual_3d_cv	0.4155	0.04995	0.0	0.5813	442	832	0.3807	0.4535	PENDING	Does sleep_qual_3d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
198	sleep_qual_3d_cv	0.4155	0.062937	0.0	0.5813	442	832	0.3796	0.4516	PENDING	Does sleep_qual_3d_cv predict PHQ-9 increased from baseline?
199	sleep_qual_3d_slope	0.0	0.933067	0.0	0.0295	442	832	0.0	0.0	PENDING	Does sleep_qual_3d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
200	sleep_qual_3d_slope	0.0	0.929071	0.0	0.0295	442	832	0.0	0.0	PENDING	Does sleep_qual_3d_slope predict PHQ-9 increased from baseline?
201	sleep_qual_3d_autocorr	0.0005	0.665335	0.0	0.12	416	728	0.0002	0.001	PENDING	Does sleep_qual_3d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
202	sleep_qual_3d_autocorr	0.0005	0.684316	0.0	0.12	416	728	0.0002	0.0009	PENDING	Does sleep_qual_3d_autocorr predict PHQ-9 increased from baseline?
203	sleep_qual_5d_mean	0.4439	0.191808	0.0	0.3886	408	768	0.4076	0.4792	PENDING	Does sleep_qual_5d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
204	sleep_qual_5d_mean	0.4439	0.196803	0.0	0.3886	408	768	0.4083	0.4816	PENDING	Does sleep_qual_5d_mean predict PHQ-9 increased from baseline?
205	sleep_qual_5d_std	0.502	0.034965	0.0	0.6508	408	768	0.4666	0.5377	PENDING	Does sleep_qual_5d_std predict PHQ-9 ≥ 5 (mild+ depression)?
206	sleep_qual_5d_std	0.502	0.044955	0.0	0.6508	408	768	0.4665	0.5425	PENDING	Does sleep_qual_5d_std predict PHQ-9 increased from baseline?
207	sleep_qual_5d_cv	0.4842	0.045954	0.0	0.6114	408	768	0.447	0.5215	PENDING	Does sleep_qual_5d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
208	sleep_qual_5d_cv	0.4842	0.040959	0.0	0.6114	408	768	0.4461	0.5209	PENDING	Does sleep_qual_5d_cv predict PHQ-9 increased from baseline?
209	sleep_qual_5d_slope	0.0024	0.829171	0.0	0.0661	408	768	0.0	0.0074	PENDING	Does sleep_qual_5d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
210	sleep_qual_5d_slope	0.0024	0.836164	0.0	0.0661	408	768	0.0	0.0073	PENDING	Does sleep_qual_5d_slope predict PHQ-9 increased from baseline?
211	sleep_qual_5d_autocorr	0.162	0.395604	0.0	0.2506	406	717	0.1379	0.1887	PENDING	Does sleep_qual_5d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
212	sleep_qual_5d_autocorr	0.162	0.408591	0.0	0.2506	406	717	0.1364	0.1866	PENDING	Does sleep_qual_5d_autocorr predict PHQ-9 increased from baseline?
213	sleep_qual_7d_mean	0.4472	0.201798	0.0	0.3718	374	704	0.4094	0.4862	PENDING	Does sleep_qual_7d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
214	sleep_qual_7d_mean	0.4472	0.236763	0.0	0.3718	374	704	0.4089	0.4806	PENDING	Does sleep_qual_7d_mean predict PHQ-9 increased from baseline?
215	sleep_qual_7d_std	0.518	0.044955	0.0	0.6283	374	704	0.4775	0.5561	PENDING	Does sleep_qual_7d_std predict PHQ-9 ≥ 5 (mild+ depression)?
216	sleep_qual_7d_std	0.518	0.043956	0.0	0.6283	374	704	0.479	0.5574	PENDING	Does sleep_qual_7d_std predict PHQ-9 increased from baseline?
217	sleep_qual_7d_cv	0.5023	0.03996	0.0	0.587	374	704	0.4624	0.5424	PENDING	Does sleep_qual_7d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
218	sleep_qual_7d_cv	0.5023	0.060939	0.0	0.587	374	704	0.4622	0.5423	PENDING	Does sleep_qual_7d_cv predict PHQ-9 increased from baseline?
219	sleep_qual_7d_slope	0.0088	0.78022	0.0	0.0864	374	704	0.001	0.0188	PENDING	Does sleep_qual_7d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
220	sleep_qual_7d_slope	0.0088	0.786214	0.0	0.0864	374	704	0.0014	0.0194	PENDING	Does sleep_qual_7d_slope predict PHQ-9 increased from baseline?
221	sleep_qual_7d_autocorr	0.3299	0.251748	0.0	0.3482	374	665	0.2958	0.3674	PENDING	Does sleep_qual_7d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
222	sleep_qual_7d_autocorr	0.3299	0.232767	0.0	0.3482	374	665	0.2956	0.3658	PENDING	Does sleep_qual_7d_autocorr predict PHQ-9 increased from baseline?
223	sleep_qual_14d_mean	0.4391	0.294705	0.0	0.3336	255	480	0.3925	0.4841	PENDING	Does sleep_qual_14d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
224	sleep_qual_14d_mean	0.4391	0.291708	0.0	0.3336	255	480	0.3903	0.4863	PENDING	Does sleep_qual_14d_mean predict PHQ-9 increased from baseline?
225	sleep_qual_14d_std	0.5449	0.047952	0.0	0.5946	255	480	0.4949	0.5954	PENDING	Does sleep_qual_14d_std predict PHQ-9 ≥ 5 (mild+ depression)?
226	sleep_qual_14d_std	0.5449	0.054945	0.0	0.5946	255	480	0.4945	0.5913	PENDING	Does sleep_qual_14d_std predict PHQ-9 increased from baseline?
227	sleep_qual_14d_cv	0.5321	0.066933	0.0	0.5554	255	480	0.485	0.5789	PENDING	Does sleep_qual_14d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
228	sleep_qual_14d_cv	0.5321	0.064935	0.0	0.5554	255	480	0.4822	0.58	PENDING	Does sleep_qual_14d_cv predict PHQ-9 increased from baseline?
229	sleep_qual_14d_slope	0.2897	0.405594	0.0	0.2626	255	480	0.2476	0.328	PENDING	Does sleep_qual_14d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
230	sleep_qual_14d_slope	0.2897	0.403596	0.0	0.2626	255	480	0.2508	0.3328	PENDING	Does sleep_qual_14d_slope predict PHQ-9 increased from baseline?
231	sleep_qual_14d_autocorr	0.4845	0.136863	0.0	0.4497	255	459	0.4409	0.5299	PENDING	Does sleep_qual_14d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
232	sleep_qual_14d_autocorr	0.4845	0.130869	0.0	0.4497	255	459	0.4384	0.5302	PENDING	Does sleep_qual_14d_autocorr predict PHQ-9 increased from baseline?
233	sleep_qual_21d_mean	0.4704	0.218781	0.0	0.3693	136	256	0.4087	0.5326	PENDING	Does sleep_qual_21d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
234	sleep_qual_21d_mean	0.4704	0.230769	0.0	0.3693	136	256	0.4098	0.5333	PENDING	Does sleep_qual_21d_mean predict PHQ-9 increased from baseline?
235	sleep_qual_21d_std	0.5802	0.034965	0.0	0.6432	136	256	0.5156	0.6488	PENDING	Does sleep_qual_21d_std predict PHQ-9 ≥ 5 (mild+ depression)?
236	sleep_qual_21d_std	0.5802	0.02997	0.0	0.6432	136	256	0.5168	0.6486	PENDING	Does sleep_qual_21d_std predict PHQ-9 increased from baseline?
237	sleep_qual_21d_cv	0.574	0.04995	0.0	0.6047	136	256	0.5115	0.6475	PENDING	Does sleep_qual_21d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
238	sleep_qual_21d_cv	0.574	0.038961	0.0	0.6047	136	256	0.5084	0.6388	PENDING	Does sleep_qual_21d_cv predict PHQ-9 increased from baseline?
239	sleep_qual_21d_slope	0.391	0.321678	0.0	0.2905	136	256	0.3223	0.4568	PENDING	Does sleep_qual_21d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
240	sleep_qual_21d_slope	0.391	0.341658	0.0	0.2905	136	256	0.3285	0.4543	PENDING	Does sleep_qual_21d_slope predict PHQ-9 increased from baseline?
241	sleep_qual_21d_autocorr	0.5901	0.030969	0.0	0.6312	136	249	0.5287	0.6518	PENDING	Does sleep_qual_21d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
242	sleep_qual_21d_autocorr	0.5901	0.03996	0.0	0.6312	136	249	0.5305	0.646	PENDING	Does sleep_qual_21d_autocorr predict PHQ-9 increased from baseline?
243	sleep_qual_28d_mean	0.4816	0.201798	0.0	0.4003	17	32	0.302	0.6478	PENDING	Does sleep_qual_28d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
244	sleep_qual_28d_mean	0.4816	0.201798	0.0	0.4003	17	32	0.2955	0.6489	PENDING	Does sleep_qual_28d_mean predict PHQ-9 increased from baseline?
245	sleep_qual_28d_std	0.6213	0.01998	0.0	0.729	17	32	0.4229	0.8077	PENDING	Does sleep_qual_28d_std predict PHQ-9 ≥ 5 (mild+ depression)?
246	sleep_qual_28d_std	0.6213	0.01998	0.0	0.729	17	32	0.4264	0.7885	PENDING	Does sleep_qual_28d_std predict PHQ-9 increased from baseline?
247	sleep_qual_28d_cv	0.6195	0.028971	0.0	0.6909	17	32	0.4228	0.7993	PENDING	Does sleep_qual_28d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
248	sleep_qual_28d_cv	0.6195	0.030969	0.0	0.6909	17	32	0.4167	0.7896	PENDING	Does sleep_qual_28d_cv predict PHQ-9 increased from baseline?
249	sleep_qual_28d_slope	0.1893	0.552448	0.0	0.1844	17	32	0.0726	0.3239	PENDING	Does sleep_qual_28d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
250	sleep_qual_28d_slope	0.1893	0.549451	0.0	0.1844	17	32	0.0731	0.3263	PENDING	Does sleep_qual_28d_slope predict PHQ-9 increased from baseline?
251	sleep_qual_28d_autocorr	0.5404	0.123876	0.0	0.4788	17	32	0.3658	0.7255	PENDING	Does sleep_qual_28d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
252	sleep_qual_28d_autocorr	0.5404	0.111888	0.0	0.4788	17	32	0.3449	0.7259	PENDING	Does sleep_qual_28d_autocorr predict PHQ-9 increased from baseline?
253	sleep_dur_3d_mean	0.4711	0.236763	0.0	0.3614	442	832	0.4403	0.5059	PENDING	Does sleep_dur_3d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
254	sleep_dur_3d_mean	0.4711	0.234765	0.0	0.3614	442	832	0.4367	0.5031	PENDING	Does sleep_dur_3d_mean predict PHQ-9 increased from baseline?
255	sleep_dur_3d_std	0.5491	0.000999	0.0	0.9125	442	832	0.5156	0.5837	PENDING	Does sleep_dur_3d_std predict PHQ-9 ≥ 5 (mild+ depression)?
256	sleep_dur_3d_std	0.5491	0.001998	0.0	0.9125	442	832	0.5181	0.5812	PENDING	Does sleep_dur_3d_std predict PHQ-9 increased from baseline?
257	sleep_dur_3d_cv	0.5196	0.013986	0.0	0.7578	442	832	0.4852	0.5513	PENDING	Does sleep_dur_3d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
258	sleep_dur_3d_cv	0.5196	0.014985	0.0	0.7578	442	832	0.4842	0.5548	PENDING	Does sleep_dur_3d_cv predict PHQ-9 increased from baseline?
259	sleep_dur_3d_slope	0.0007	0.24975	0.0	0.3442	442	832	0.0001	0.0018	PENDING	Does sleep_dur_3d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
260	sleep_dur_3d_slope	0.0007	0.243756	0.0	0.3442	442	832	0.0001	0.0018	PENDING	Does sleep_dur_3d_slope predict PHQ-9 increased from baseline?
261	sleep_dur_3d_autocorr	0.0046	0.519481	0.0	0.1981	413	773	0.0026	0.0072	PENDING	Does sleep_dur_3d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
262	sleep_dur_3d_autocorr	0.0046	0.521479	0.0	0.1981	413	773	0.0027	0.0068	PENDING	Does sleep_dur_3d_autocorr predict PHQ-9 increased from baseline?
263	sleep_dur_5d_mean	0.4885	0.254745	0.0	0.3485	408	768	0.4551	0.522	PENDING	Does sleep_dur_5d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
264	sleep_dur_5d_mean	0.4885	0.231768	0.0	0.3485	408	768	0.4565	0.5228	PENDING	Does sleep_dur_5d_mean predict PHQ-9 increased from baseline?
265	sleep_dur_5d_std	0.6096	0.003996	0.0	0.8512	408	768	0.577	0.6455	PENDING	Does sleep_dur_5d_std predict PHQ-9 ≥ 5 (mild+ depression)?
266	sleep_dur_5d_std	0.6096	0.003996	0.0	0.8512	408	768	0.5762	0.6433	PENDING	Does sleep_dur_5d_std predict PHQ-9 increased from baseline?
267	sleep_dur_5d_cv	0.5718	0.020979	0.0	0.7205	408	768	0.5361	0.6056	PENDING	Does sleep_dur_5d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
268	sleep_dur_5d_cv	0.5718	0.020979	0.0	0.7205	408	768	0.5376	0.6089	PENDING	Does sleep_dur_5d_cv predict PHQ-9 increased from baseline?
269	sleep_dur_5d_slope	0.0711	0.174825	0.0	0.411	408	768	0.0559	0.0886	PENDING	Does sleep_dur_5d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
270	sleep_dur_5d_slope	0.0711	0.177822	0.0	0.411	408	768	0.0556	0.0885	PENDING	Does sleep_dur_5d_slope predict PHQ-9 increased from baseline?
271	sleep_dur_5d_autocorr	0.0004	0.936064	0.0	0.026	408	768	0.0	0.0013	PENDING	Does sleep_dur_5d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
272	sleep_dur_5d_autocorr	0.0004	0.933067	0.0	0.026	408	768	0.0	0.0013	PENDING	Does sleep_dur_5d_autocorr predict PHQ-9 increased from baseline?
273	sleep_dur_7d_mean	0.4857	0.275724	0.0	0.333	374	704	0.4478	0.5211	PENDING	Does sleep_dur_7d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
274	sleep_dur_7d_mean	0.4857	0.280719	0.0	0.333	374	704	0.454	0.5214	PENDING	Does sleep_dur_7d_mean predict PHQ-9 increased from baseline?
275	sleep_dur_7d_std	0.6324	0.016983	0.0	0.7596	374	704	0.5976	0.6665	PENDING	Does sleep_dur_7d_std predict PHQ-9 ≥ 5 (mild+ depression)?
276	sleep_dur_7d_std	0.6324	0.008991	0.0	0.7596	374	704	0.5999	0.6671	PENDING	Does sleep_dur_7d_std predict PHQ-9 increased from baseline?
277	sleep_dur_7d_cv	0.5899	0.041958	0.0	0.639	374	704	0.5564	0.6293	PENDING	Does sleep_dur_7d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
278	sleep_dur_7d_cv	0.5899	0.036963	0.0	0.639	374	704	0.5535	0.6237	PENDING	Does sleep_dur_7d_cv predict PHQ-9 increased from baseline?
279	sleep_dur_7d_slope	0.0822	0.302697	0.0	0.3156	374	704	0.0636	0.1015	PENDING	Does sleep_dur_7d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
280	sleep_dur_7d_slope	0.0822	0.285714	0.0	0.3156	374	704	0.0652	0.1009	PENDING	Does sleep_dur_7d_slope predict PHQ-9 increased from baseline?
281	sleep_dur_7d_autocorr	0.0238	0.774226	0.0	0.0863	374	704	0.0154	0.0335	PENDING	Does sleep_dur_7d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
282	sleep_dur_7d_autocorr	0.0238	0.784216	0.0	0.0863	374	704	0.0156	0.0334	PENDING	Does sleep_dur_7d_autocorr predict PHQ-9 increased from baseline?
283	sleep_dur_14d_mean	0.5135	0.261738	0.0	0.3414	255	480	0.4707	0.5562	PENDING	Does sleep_dur_14d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
284	sleep_dur_14d_mean	0.5135	0.277722	0.0	0.3414	255	480	0.4714	0.5536	PENDING	Does sleep_dur_14d_mean predict PHQ-9 increased from baseline?
285	sleep_dur_14d_std	0.6609	0.030969	0.0	0.6764	255	480	0.6195	0.7012	PENDING	Does sleep_dur_14d_std predict PHQ-9 ≥ 5 (mild+ depression)?
286	sleep_dur_14d_std	0.6609	0.032967	0.0	0.6764	255	480	0.6175	0.6998	PENDING	Does sleep_dur_14d_std predict PHQ-9 increased from baseline?
287	sleep_dur_14d_cv	0.6166	0.073926	0.0	0.5424	255	480	0.5754	0.6571	PENDING	Does sleep_dur_14d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
288	sleep_dur_14d_cv	0.6166	0.061938	0.0	0.5424	255	480	0.5751	0.6576	PENDING	Does sleep_dur_14d_cv predict PHQ-9 increased from baseline?
289	sleep_dur_14d_slope	0.4278	0.124875	0.0	0.4419	255	480	0.3838	0.4722	PENDING	Does sleep_dur_14d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
290	sleep_dur_14d_slope	0.4278	0.135864	0.0	0.4419	255	480	0.3836	0.4762	PENDING	Does sleep_dur_14d_slope predict PHQ-9 increased from baseline?
291	sleep_dur_14d_autocorr	0.0003	0.924076	0.0	0.0256	255	480	0.0	0.0007	PENDING	Does sleep_dur_14d_autocorr predict PHQ-9 ≥ 5 (mild+ depression)?
292	sleep_dur_14d_autocorr	0.0003	0.921079	0.0	0.0256	255	480	0.0	0.0008	PENDING	Does sleep_dur_14d_autocorr predict PHQ-9 increased from baseline?
293	sleep_dur_21d_mean	0.5155	0.307692	0.0	0.3295	136	256	0.4597	0.5762	PENDING	Does sleep_dur_21d_mean predict PHQ-9 ≥ 5 (mild+ depression)?
294	sleep_dur_21d_mean	0.5155	0.304695	0.0	0.3295	136	256	0.4556	0.5714	PENDING	Does sleep_dur_21d_mean predict PHQ-9 increased from baseline?
295	sleep_dur_21d_std	0.6847	0.015984	0.0	0.7348	136	256	0.6289	0.7372	PENDING	Does sleep_dur_21d_std predict PHQ-9 ≥ 5 (mild+ depression)?
296	sleep_dur_21d_std	0.6847	0.021978	0.0	0.7348	136	256	0.6267	0.7394	PENDING	Does sleep_dur_21d_std predict PHQ-9 increased from baseline?
297	sleep_dur_21d_cv	0.6491	0.055944	0.0	0.5899	136	256	0.5923	0.7035	PENDING	Does sleep_dur_21d_cv predict PHQ-9 ≥ 5 (mild+ depression)?
298	sleep_dur_21d_cv	0.6491	0.05994	0.0	0.5899	136	256	0.5921	0.7078	PENDING	Does sleep_dur_21d_cv predict PHQ-9 increased from baseline?
299	sleep_dur_21d_slope	0.5026	0.173826	0.0	0.4158	136	256	0.4387	0.5694	PENDING	Does sleep_dur_21d_slope predict PHQ-9 ≥ 5 (mild+ depression)?
300	sleep_dur_21d_slope	0.5026	0.177822	0.0	0.4158	136	256	0.438	0.5649	PENDING	Does sleep_dur_21d_slope predict PHQ-9 increased from baseline?
